timestamp original_retrans src_ip predicted_retrans
"2017-07-07 18:11:47.408" 0.021 sedsk47.grid.hep.ph.ic.ac.uk 0.0705488888889
"2017-07-07 18:11:47.408" 0.013 sedsk70.grid.hep.ph.ic.ac.uk 0.03263
"2017-07-07 18:11:47.408" 0.078 sedsk33.grid.hep.ph.ic.ac.uk 0.0747
"2017-07-07 18:11:47.408" 0.219 sedsk69.grid.hep.ph.ic.ac.uk 0.1589
"2017-07-07 18:11:47.408" 0.064 sedsk67.grid.hep.ph.ic.ac.uk 0.08342
"2017-07-07 18:11:47.408" 0.001 sedsk71.grid.hep.ph.ic.ac.uk 0.0031616749616
"2017-07-07 18:11:47.408" 0.057 sedsk67.grid.hep.ph.ic.ac.uk 0.10463
"2017-07-07 18:11:47.408" 0.068 sedsk71.grid.hep.ph.ic.ac.uk 0.07007
"2017-07-07 18:11:47.409" 0.096 sedsk68.grid.hep.ph.ic.ac.uk 0.09284
"2017-07-07 18:11:47.409" 0.032 sedsk33.grid.hep.ph.ic.ac.uk 0.04235
"2017-07-07 18:11:47.409" 0.123 sedsk48.grid.hep.ph.ic.ac.uk 0.0875
"2017-07-07 18:11:47.409" 0.009 sedsk69.grid.hep.ph.ic.ac.uk 0.01039
"2017-07-07 18:11:47.409" 0.02 sedsk64.grid.hep.ph.ic.ac.uk 0.09492
"2017-07-07 18:11:47.409" 0.149 sedsk35.grid.hep.ph.ic.ac.uk 0.0239409090909
"2017-07-07 18:11:47.409" 0.071 sedsk32.grid.hep.ph.ic.ac.uk 0.04812
"2017-07-07 18:11:47.409" 0.001 sedsk38.grid.hep.ph.ic.ac.uk 0.00122147029533
"2017-07-07 18:11:47.409" 0.062 sedsk71.grid.hep.ph.ic.ac.uk 0.02587
"2017-07-07 18:11:47.409" 0.03 sedsk70.grid.hep.ph.ic.ac.uk 0.03182
"2017-07-07 18:11:47.409" 0.001 sedsk41.grid.hep.ph.ic.ac.uk 0.0178124176841
"2017-07-07 18:11:47.409" 0.131 sedsk67.grid.hep.ph.ic.ac.uk 0.10824
"2017-07-07 18:11:47.409" 0.002 sedsk66.grid.hep.ph.ic.ac.uk 0.05888
"2017-07-07 18:11:47.409" 0.099 sedsk69.grid.hep.ph.ic.ac.uk 0.07288
"2017-07-07 18:11:47.409" 0.014 sedsk66.grid.hep.ph.ic.ac.uk 0.0127
"2017-07-07 18:11:47.409" 0.008 sedsk67.grid.hep.ph.ic.ac.uk 0.04615
"2017-07-07 18:11:47.409" 0.095 sedsk35.grid.hep.ph.ic.ac.uk 0.08352
"2017-07-07 18:11:47.409" 0.089 sedsk65.grid.hep.ph.ic.ac.uk 0.07762
"2017-07-07 18:11:47.409" 0.004 sedsk68.grid.hep.ph.ic.ac.uk 0.00524
"2017-07-07 18:11:47.409" 0.019 sedsk39.grid.hep.ph.ic.ac.uk 0.01339
"2017-07-07 18:11:47.409" 0.031 sedsk70.grid.hep.ph.ic.ac.uk 0.05226
"2017-07-07 18:11:47.409" 0.035 sedsk64.grid.hep.ph.ic.ac.uk 0.0374
"2017-07-07 18:11:47.409" 0.037 sedsk66.grid.hep.ph.ic.ac.uk 0.03675
"2017-07-07 18:11:47.409" 0.136 sedsk70.grid.hep.ph.ic.ac.uk 0.07668
"2017-07-07 18:11:47.409" 0.001 sedsk40.grid.hep.ph.ic.ac.uk 0.00403
"2017-07-07 18:11:47.409" 0.09 sedsk71.grid.hep.ph.ic.ac.uk 0.08828
"2017-07-07 18:11:47.409" 0.011 sedsk40.grid.hep.ph.ic.ac.uk 0.00944
"2017-07-07 18:11:47.409" 0.079 sedsk68.grid.hep.ph.ic.ac.uk 0.07366
"2017-07-07 18:11:47.409" 0.07 sedsk67.grid.hep.ph.ic.ac.uk 0.08289
"2017-07-07 18:11:47.409" 0.143 sedsk68.grid.hep.ph.ic.ac.uk 0.06343
"2017-07-07 18:11:47.409" 0.028 sedsk47.grid.hep.ph.ic.ac.uk 0.0398811111111
"2017-07-07 18:11:47.409" 0.022 sedsk66.grid.hep.ph.ic.ac.uk 0.02201
"2017-07-07 18:11:47.409" 0.052 sedsk69.grid.hep.ph.ic.ac.uk 0.05099
"2017-07-07 18:11:47.409" 0.023 sedsk47.grid.hep.ph.ic.ac.uk 0.04062
"2017-07-07 18:11:47.409" 0.291 sedsk32.grid.hep.ph.ic.ac.uk 0.2567
"2017-07-07 18:11:47.409" 0.093 sedsk70.grid.hep.ph.ic.ac.uk 0.08102
"2017-07-07 18:11:47.409" 0.026 sedsk46.grid.hep.ph.ic.ac.uk 0.0444188888889
"2017-07-07 18:11:47.409" 0.045 sedsk64.grid.hep.ph.ic.ac.uk 0.05952
"2017-07-07 18:11:47.409" 0.264 sedsk70.grid.hep.ph.ic.ac.uk 0.09189
"2017-07-07 18:11:47.409" 0.018 sedsk70.grid.hep.ph.ic.ac.uk 0.0135175872494
"2017-07-07 18:11:47.409" 0.003 sedsk32.grid.hep.ph.ic.ac.uk 0.00594
"2017-07-07 18:11:47.409" 0.132 sedsk48.grid.hep.ph.ic.ac.uk 0.11573
"2017-07-07 18:11:47.409" 0.058 sedsk65.grid.hep.ph.ic.ac.uk 0.05938
"2017-07-07 18:11:47.409" 0.021 sedsk70.grid.hep.ph.ic.ac.uk 0.0174
"2017-07-07 18:11:47.409" 0.032 sedsk34.grid.hep.ph.ic.ac.uk 0.0373
"2017-07-07 18:11:47.409" 0.08 sedsk68.grid.hep.ph.ic.ac.uk 0.08275
"2017-07-07 18:11:47.409" 0.034 sedsk66.grid.hep.ph.ic.ac.uk 0.0238609090909
"2017-07-07 18:11:47.409" 0.001 sedsk71.grid.hep.ph.ic.ac.uk 0.00995
"2017-07-07 18:11:47.409" 0.001 sedsk70.grid.hep.ph.ic.ac.uk 0.00434
"2017-07-07 18:11:47.449" 0.011 sedsk66.grid.hep.ph.ic.ac.uk 0.011351
"2017-07-07 18:11:47.449" 0.142 sedsk37.grid.hep.ph.ic.ac.uk 0.09371
"2017-07-07 18:11:47.449" 0.137 sedsk71.grid.hep.ph.ic.ac.uk 0.06921
"2017-07-07 18:11:47.449" 0.006 sedsk42.grid.hep.ph.ic.ac.uk 0.09794
"2017-07-07 18:11:47.449" 0.003 sedsk37.grid.hep.ph.ic.ac.uk 0.01211
"2017-07-07 18:11:47.449" 0.022 sedsk68.grid.hep.ph.ic.ac.uk 0.0350390909091
"2017-07-07 18:11:47.449" 0.017 sedsk66.grid.hep.ph.ic.ac.uk 0.02104
"2017-07-07 18:11:47.449" 0.073 sedsk43.grid.hep.ph.ic.ac.uk 0.08388
"2017-07-07 18:11:47.449" 0.105 sedsk42.grid.hep.ph.ic.ac.uk 0.09908
"2017-07-07 18:11:47.449" 0.063 sedsk42.grid.hep.ph.ic.ac.uk 0.06513
"2017-07-07 18:11:47.449" 0.033 sedsk70.grid.hep.ph.ic.ac.uk 0.05713
"2017-07-07 18:11:47.449" 0.053 sedsk43.grid.hep.ph.ic.ac.uk 0.05535
"2017-07-07 18:11:47.449" 0.02 sedsk71.grid.hep.ph.ic.ac.uk 0.03736
"2017-07-07 18:11:47.449" 0.078 sedsk45.grid.hep.ph.ic.ac.uk 0.08487
"2017-07-07 18:11:47.449" 0.005 sedsk64.grid.hep.ph.ic.ac.uk 0.00766888888889
"2017-07-07 18:11:47.449" 0.074 sedsk65.grid.hep.ph.ic.ac.uk 0.0556488888889
"2017-07-07 18:11:47.449" 0.141 sedsk71.grid.hep.ph.ic.ac.uk 0.1024
"2017-07-07 18:11:47.449" 0.007 sedsk34.grid.hep.ph.ic.ac.uk 0.00718
"2017-07-07 18:11:47.449" 0.085 sedsk64.grid.hep.ph.ic.ac.uk 0.08669
"2017-07-07 18:11:47.449" 0.066 sedsk45.grid.hep.ph.ic.ac.uk 0.07737
"2017-07-07 18:11:47.449" 0.065 sedsk35.grid.hep.ph.ic.ac.uk 0.065
"2017-07-07 18:11:47.449" 0.005 sedsk39.grid.hep.ph.ic.ac.uk 0.00627090909091
"2017-07-07 18:11:47.450" 0.026 sedsk66.grid.hep.ph.ic.ac.uk 0.03431
"2017-07-07 18:11:47.450" 0.009 sedsk66.grid.hep.ph.ic.ac.uk 0.03529
"2017-07-07 18:11:47.450" 0.353 sedsk39.grid.hep.ph.ic.ac.uk 0.32017
"2017-07-07 18:11:47.450" 0.036 sedsk70.grid.hep.ph.ic.ac.uk 0.05167
"2017-07-07 18:11:47.450" 0.14 sedsk45.grid.hep.ph.ic.ac.uk 0.13895
"2017-07-07 18:11:47.450" 0.006 sedsk70.grid.hep.ph.ic.ac.uk 0.05174
"2017-07-07 18:11:47.450" 0.065 sedsk70.grid.hep.ph.ic.ac.uk 0.06698
"2017-07-07 18:11:47.450" 0.006 sedsk44.grid.hep.ph.ic.ac.uk 0.01042
"2017-07-07 18:11:47.450" 0.003 sedsk40.grid.hep.ph.ic.ac.uk 0.00387214646465
"2017-07-07 18:11:47.450" 0.059 sedsk46.grid.hep.ph.ic.ac.uk 0.07022
"2017-07-07 18:11:47.450" 0.22 sedsk69.grid.hep.ph.ic.ac.uk 0.12502
"2017-07-07 18:11:47.450" 0.005 sedsk70.grid.hep.ph.ic.ac.uk 0.0109
"2017-07-07 18:11:47.450" 0.045 sedsk46.grid.hep.ph.ic.ac.uk 0.04246
"2017-07-07 18:11:47.450" 0.011 sedsk66.grid.hep.ph.ic.ac.uk 0.02709
"2017-07-07 18:11:47.450" 0.124 sedsk65.grid.hep.ph.ic.ac.uk 0.06753
"2017-07-07 18:11:47.450" 0.044 sedsk32.grid.hep.ph.ic.ac.uk 0.0109291666667
"2017-07-07 18:11:47.450" 0.063 sedsk71.grid.hep.ph.ic.ac.uk 0.05068
"2017-07-07 18:11:47.450" 0.316 sedsk47.grid.hep.ph.ic.ac.uk 0.28582
"2017-07-07 18:11:47.450" 0.04 sedsk39.grid.hep.ph.ic.ac.uk 0.02876
"2017-07-07 18:11:47.450" 0.12 sedsk67.grid.hep.ph.ic.ac.uk 0.13119
"2017-07-07 18:11:47.450" 0.009 sedsk36.grid.hep.ph.ic.ac.uk 0.01213
"2017-07-07 18:11:47.450" 0.181 sedsk65.grid.hep.ph.ic.ac.uk 0.13929
"2017-07-07 18:11:47.450" 0.139 sedsk70.grid.hep.ph.ic.ac.uk 0.10568
"2017-07-07 18:11:47.450" 0.164 sedsk70.grid.hep.ph.ic.ac.uk 0.14246
"2017-07-07 18:11:47.450" 0.044 sedsk71.grid.hep.ph.ic.ac.uk 0.03947
"2017-07-07 18:11:47.450" 0.032 sedsk70.grid.hep.ph.ic.ac.uk 0.0354
"2017-07-07 18:11:47.450" 0.011 sedsk32.grid.hep.ph.ic.ac.uk 0.0182888888889
"2017-07-07 18:11:47.450" 0.007 sedsk69.grid.hep.ph.ic.ac.uk 0.034979
"2017-07-07 18:11:47.450" 0.077 sedsk65.grid.hep.ph.ic.ac.uk 0.03706
"2017-07-07 18:11:47.450" 0.103 sedsk66.grid.hep.ph.ic.ac.uk 0.08497
"2017-07-07 18:11:47.450" 0.049 sedsk44.grid.hep.ph.ic.ac.uk 0.00594446656251
"2017-07-07 18:11:47.450" 0.11 sedsk69.grid.hep.ph.ic.ac.uk 0.09187
"2017-07-07 18:11:47.451" 0.033 sedsk33.grid.hep.ph.ic.ac.uk 0.06195
"2017-07-07 18:11:47.451" 0.427 sedsk39.grid.hep.ph.ic.ac.uk 0.0678
"2017-07-07 18:11:47.451" 0.042 sedsk46.grid.hep.ph.ic.ac.uk 0.04781
"2017-07-07 18:11:47.451" 0.015 sedsk66.grid.hep.ph.ic.ac.uk 0.0324
"2017-07-07 18:11:47.451" 0.159 sedsk43.grid.hep.ph.ic.ac.uk 0.15302
"2017-07-07 18:11:47.451" 0.009 sedsk69.grid.hep.ph.ic.ac.uk 0.03961
"2017-07-07 18:11:47.451" 0.077 sedsk65.grid.hep.ph.ic.ac.uk 0.06554
"2017-07-07 18:11:47.451" 0.205 sedsk47.grid.hep.ph.ic.ac.uk 0.10812
"2017-07-07 18:11:47.451" 0.039 sedsk46.grid.hep.ph.ic.ac.uk 0.01721
"2017-07-07 18:11:47.451" 0.018 sedsk68.grid.hep.ph.ic.ac.uk 0.0823888888889
"2017-07-07 18:11:47.451" 0.121 sedsk32.grid.hep.ph.ic.ac.uk 0.0674
"2017-07-07 18:11:47.451" 0.027 sedsk64.grid.hep.ph.ic.ac.uk 0.04501
"2017-07-07 18:11:47.451" 0.236 sedsk68.grid.hep.ph.ic.ac.uk 0.19272
"2017-07-07 18:11:47.451" 0.126 sedsk38.grid.hep.ph.ic.ac.uk 0.10455
"2017-07-07 18:11:47.654" 0.176 sedsk64.grid.hep.ph.ic.ac.uk 0.13909
"2017-07-07 18:11:47.654" 0.057 sedsk70.grid.hep.ph.ic.ac.uk 0.05283
"2017-07-07 18:11:47.654" 0.049 sedsk67.grid.hep.ph.ic.ac.uk 0.11133
"2017-07-07 18:11:47.654" 0.057 sedsk44.grid.hep.ph.ic.ac.uk 0.0467
"2017-07-07 18:11:47.654" 0.043 sedsk45.grid.hep.ph.ic.ac.uk 0.05668
"2017-07-07 18:11:47.654" 0.11 sedsk40.grid.hep.ph.ic.ac.uk 0.09951
"2017-07-07 18:11:47.654" 0.127 sedsk66.grid.hep.ph.ic.ac.uk 0.1241
"2017-07-07 18:11:47.654" 0.197 sedsk66.grid.hep.ph.ic.ac.uk 0.16018
"2017-07-07 18:11:47.654" 0.075 sedsk66.grid.hep.ph.ic.ac.uk 0.0767692857143
"2017-07-07 18:11:47.654" 0.006 sedsk70.grid.hep.ph.ic.ac.uk 0.04049
"2017-07-07 18:11:47.654" 0.181 sedsk42.grid.hep.ph.ic.ac.uk 0.07515
"2017-07-07 18:11:47.654" 0.135 sedsk44.grid.hep.ph.ic.ac.uk 0.10978
"2017-07-07 18:11:47.654" 0.002 sedsk70.grid.hep.ph.ic.ac.uk 0.003749
"2017-07-07 18:11:47.654" 0.106 sedsk71.grid.hep.ph.ic.ac.uk 0.09043
"2017-07-07 18:11:47.654" 0.057 sedsk70.grid.hep.ph.ic.ac.uk 0.05
"2017-07-07 18:11:47.654" 0.173 sedsk67.grid.hep.ph.ic.ac.uk 0.15248
"2017-07-07 18:11:47.654" 0.023 sedsk42.grid.hep.ph.ic.ac.uk 0.04295
"2017-07-07 18:11:47.654" 0.027 sedsk69.grid.hep.ph.ic.ac.uk 0.02617
"2017-07-07 18:11:47.654" 0.252 sedsk39.grid.hep.ph.ic.ac.uk 0.03265
"2017-07-07 18:11:47.654" 0.003 sedsk68.grid.hep.ph.ic.ac.uk 0.0219211111111
"2017-07-07 18:11:47.654" 0.117 sedsk39.grid.hep.ph.ic.ac.uk 0.04208
"2017-07-07 18:11:47.654" 0.042 sedsk70.grid.hep.ph.ic.ac.uk 0.03976
"2017-07-07 18:11:47.654" 0.075 sedsk33.grid.hep.ph.ic.ac.uk 0.07454
"2017-07-07 18:11:47.654" 0.034 sedsk65.grid.hep.ph.ic.ac.uk 0.06329
"2017-07-07 18:11:47.654" 0.005 sedsk64.grid.hep.ph.ic.ac.uk 0.0220211111111
"2017-07-07 18:11:47.654" 0.171 sedsk70.grid.hep.ph.ic.ac.uk 0.14507
"2017-07-07 18:11:47.654" 0.05 sedsk64.grid.hep.ph.ic.ac.uk 0.04535
"2017-07-07 18:11:47.655" 0.102 sedsk71.grid.hep.ph.ic.ac.uk 0.09048
"2017-07-07 18:11:47.655" 0.029 sedsk71.grid.hep.ph.ic.ac.uk 0.0245288888889
"2017-07-07 18:11:47.655" 0.062 sedsk70.grid.hep.ph.ic.ac.uk 0.07235
"2017-07-07 18:11:47.655" 0.046 sedsk43.grid.hep.ph.ic.ac.uk 0.05163
"2017-07-07 18:11:47.655" 0.07 sedsk32.grid.hep.ph.ic.ac.uk 0.06323
"2017-07-07 18:11:47.655" 0.052 sedsk64.grid.hep.ph.ic.ac.uk 0.0717
"2017-07-07 18:11:47.655" 0.082 sedsk66.grid.hep.ph.ic.ac.uk 0.11231
"2017-07-07 18:11:47.655" 0.016 sedsk32.grid.hep.ph.ic.ac.uk 0.0534
"2017-07-07 18:11:47.655" 0.009 sedsk70.grid.hep.ph.ic.ac.uk 0.00872
"2017-07-07 18:11:47.655" 0.106 sedsk65.grid.hep.ph.ic.ac.uk 0.035131
"2017-07-07 18:11:47.655" 0.154 sedsk70.grid.hep.ph.ic.ac.uk 0.0238111111111
"2017-07-07 18:11:47.655" 0.04 sedsk34.grid.hep.ph.ic.ac.uk 0.04287
"2017-07-07 18:11:47.655" 0.01 sedsk65.grid.hep.ph.ic.ac.uk 0.0107
"2017-07-07 18:11:47.655" 0.041 sedsk67.grid.hep.ph.ic.ac.uk 0.03641
"2017-07-07 18:11:47.655" 0.014 sedsk68.grid.hep.ph.ic.ac.uk 0.04282
"2017-07-07 18:11:47.655" 0.149 sedsk40.grid.hep.ph.ic.ac.uk 0.11894
"2017-07-07 18:11:47.655" 0.11 sedsk64.grid.hep.ph.ic.ac.uk 0.10624
"2017-07-07 18:11:47.655" 0.04 sedsk66.grid.hep.ph.ic.ac.uk 0.06153
"2017-07-07 18:11:47.655" 0.005 sedsk33.grid.hep.ph.ic.ac.uk 0.00825
"2017-07-07 18:11:47.655" 0.215 sedsk37.grid.hep.ph.ic.ac.uk 0.08757
"2017-07-07 18:11:47.655" 0.031 sedsk48.grid.hep.ph.ic.ac.uk 0.04525
"2017-07-07 18:11:47.655" 0.041 sedsk48.grid.hep.ph.ic.ac.uk 0.0424778888889
"2017-07-07 18:11:47.655" 0.052 sedsk70.grid.hep.ph.ic.ac.uk 0.04885
"2017-07-07 18:11:47.655" 0.181 sedsk67.grid.hep.ph.ic.ac.uk 0.17694
"2017-07-07 18:11:47.655" 0.002 sedsk41.grid.hep.ph.ic.ac.uk 0.00861
"2017-07-07 18:11:47.655" 0.023 sedsk47.grid.hep.ph.ic.ac.uk 0.04387
"2017-07-07 18:11:47.655" 0.025 sedsk67.grid.hep.ph.ic.ac.uk 0.03686
"2017-07-07 18:11:47.655" 0.048 sedsk64.grid.hep.ph.ic.ac.uk 0.09251
"2017-07-07 18:11:47.655" 0.006 sedsk67.grid.hep.ph.ic.ac.uk 0.00883
"2017-07-07 18:11:47.655" 0.025 sedsk33.grid.hep.ph.ic.ac.uk 0.07875
"2017-07-07 18:11:47.655" 0.085 sedsk39.grid.hep.ph.ic.ac.uk 0.08395
"2017-07-07 18:11:47.655" 0.008 sedsk34.grid.hep.ph.ic.ac.uk 0.03574
"2017-07-07 18:11:47.655" 0.083 sedsk66.grid.hep.ph.ic.ac.uk 0.18278
"2017-07-07 18:12:03.428" 0.059 sedsk64.grid.hep.ph.ic.ac.uk 0.065999
"2017-07-07 18:12:03.428" 0.077 sedsk40.grid.hep.ph.ic.ac.uk 0.0875
"2017-07-07 18:12:03.428" 0.089 sedsk48.grid.hep.ph.ic.ac.uk 0.08342
"2017-07-07 18:12:03.428" 0.172 sedsk69.grid.hep.ph.ic.ac.uk 0.16125
"2017-07-07 18:12:03.428" 0.001 sedsk45.grid.hep.ph.ic.ac.uk 0.00102214468864
"2017-07-07 18:12:03.428" 0.113 sedsk66.grid.hep.ph.ic.ac.uk 0.14493
"2017-07-07 18:12:03.428" 0.006 sedsk35.grid.hep.ph.ic.ac.uk 0.03678
"2017-07-07 18:12:03.428" 0.038 sedsk70.grid.hep.ph.ic.ac.uk 0.03472
"2017-07-07 18:12:03.428" 0.001 sedsk66.grid.hep.ph.ic.ac.uk 0.00100273437275
"2017-07-07 18:12:03.428" 0.001 sedsk33.grid.hep.ph.ic.ac.uk 0.01033
"2017-07-07 18:12:03.428" 0.051 sedsk48.grid.hep.ph.ic.ac.uk 0.05251
"2017-07-07 18:12:03.428" 0.124 sedsk67.grid.hep.ph.ic.ac.uk 0.115289
"2017-07-07 18:12:03.428" 0.003 sedsk68.grid.hep.ph.ic.ac.uk 0.01199
"2017-07-07 18:12:03.428" 0.069 sedsk65.grid.hep.ph.ic.ac.uk 0.06298
"2017-07-07 18:12:03.428" 0.047 sedsk66.grid.hep.ph.ic.ac.uk 0.0545
"2017-07-07 18:12:03.428" 0.183 sedsk38.grid.hep.ph.ic.ac.uk 0.12454
"2017-07-07 18:12:03.428" 0.001 sedsk44.grid.hep.ph.ic.ac.uk 0.00100130554537
"2017-07-07 18:12:03.428" 0.048 sedsk67.grid.hep.ph.ic.ac.uk 0.07474
"2017-07-07 18:12:03.428" 0.003 sedsk43.grid.hep.ph.ic.ac.uk 0.03198
"2017-07-07 18:12:03.428" 0.033 sedsk70.grid.hep.ph.ic.ac.uk 0.03532
"2017-07-07 18:12:03.428" 0.014 sedsk66.grid.hep.ph.ic.ac.uk 0.05194
"2017-07-07 18:12:03.428" 0.262 sedsk38.grid.hep.ph.ic.ac.uk 0.23724
"2017-07-07 18:12:03.428" 0.05 sedsk40.grid.hep.ph.ic.ac.uk 0.05145
"2017-07-07 18:12:03.428" 0.062 sedsk45.grid.hep.ph.ic.ac.uk 0.11495
"2017-07-07 18:12:03.428" 0.051 sedsk67.grid.hep.ph.ic.ac.uk 0.04835
"2017-07-07 18:12:03.428" 0.127 sedsk43.grid.hep.ph.ic.ac.uk 0.08453
"2017-07-07 18:12:03.428" 0.069 sedsk65.grid.hep.ph.ic.ac.uk 0.04544
"2017-07-07 18:12:03.428" 0.053 sedsk44.grid.hep.ph.ic.ac.uk 0.04709
"2017-07-07 18:12:03.429" 0.094 sedsk67.grid.hep.ph.ic.ac.uk 0.06338
"2017-07-07 18:12:03.429" 0.002 sedsk47.grid.hep.ph.ic.ac.uk 0.02284
"2017-07-07 18:12:03.429" 0.056 sedsk68.grid.hep.ph.ic.ac.uk 0.05392
"2017-07-07 18:12:03.429" 0.077 sedsk71.grid.hep.ph.ic.ac.uk 0.07125
"2017-07-07 18:12:03.429" 0.02 sedsk35.grid.hep.ph.ic.ac.uk 0.02273
"2017-07-07 18:12:03.429" 0.038 sedsk70.grid.hep.ph.ic.ac.uk 0.04358
"2017-07-07 18:12:03.429" 0.084 sedsk70.grid.hep.ph.ic.ac.uk 0.11618
"2017-07-07 18:12:03.429" 0.077 sedsk67.grid.hep.ph.ic.ac.uk 0.07305
"2017-07-07 18:12:03.429" 0.097 sedsk64.grid.hep.ph.ic.ac.uk 0.0733
"2017-07-07 18:12:03.429" 0.214 sedsk64.grid.hep.ph.ic.ac.uk 0.05963
"2017-07-07 18:12:03.429" 0.041 sedsk68.grid.hep.ph.ic.ac.uk 0.04678
"2017-07-07 18:12:03.429" 0.001 sedsk64.grid.hep.ph.ic.ac.uk 0.00390295173457
"2017-07-07 18:12:03.429" 0.063 sedsk70.grid.hep.ph.ic.ac.uk 0.11235
"2017-07-07 18:12:03.429" 0.008 sedsk70.grid.hep.ph.ic.ac.uk 0.01113
"2017-07-07 18:12:03.429" 0.207 sedsk46.grid.hep.ph.ic.ac.uk 0.0731
"2017-07-07 18:12:03.429" 0.027 sedsk71.grid.hep.ph.ic.ac.uk 0.0128111111111
